sku_id,sku_name,category,unit_price_idr,margin_pct,supplier,is_active,introduced_date
SKU-00001,Resep 00001,apotek_resep,194000,10.9,Combiphar,1,2013-07-19
SKU-00002,Resep 00002,apotek_resep,223000,9.7,Beurer ID,1,2015-05-25
SKU-00003,Resep 00003,apotek_resep,220000,11.4,Wardah,1,2015-03-05
SKU-00004,Resep 00004,apotek_resep,194000,11.8,Tempo Scan,1,2018-11-02
SKU-00005,Resep 00005,apotek_resep,142000,8.2,Pharos Indonesia,1,2010-01-14
SKU-00006,Resep 00006,apotek_resep,41042,13.9,Pyridam Farma,1,2012-01-07
SKU-00007,Resep 00007,apotek_resep,138000,11.2,Dexa Medica,1,2019-08-22
SKU-00008,Resep 00008,apotek_resep,133000,8.1,Beurer ID,1,2010-01-17
SKU-00009,Resep 00009,apotek_resep,194000,9.9,Indofarma,0,2016-03-04
SKU-00010,Resep 00010,apotek_resep,246000,8.7,Combiphar,1,2019-09-09
SKU-00011,Resep 00011,apotek_resep,219000,10.5,Unilever Wellness,1,2016-08-19
SKU-00012,Resep 00012,apotek_resep,68755,14.9,Pyridam Farma,1,2011-11-28
SKU-00013,Resep 00013,apotek_resep,175000,13.3,Pharos Indonesia,1,2016-09-16
SKU-00014,Resep 00014,apotek_resep,19710,12.5,Tempo Scan,1,2016-11-26
SKU-00015,Resep 00015,apotek_resep,91840,12.0,Sanbe,1,2010-04-07
SKU-00016,Resep 00016,apotek_resep,241000,14.1,Abbott Nutrition,1,2010-02-22
SKU-00017,Resep 00017,apotek_resep,248000,10.0,Beurer ID,1,2010-03-28
SKU-00018,Resep 00018,apotek_resep,87440,8.1,Soho Global,1,2016-02-10
SKU-00019,Resep 00019,apotek_resep,47585,11.9,Abbott Nutrition,1,2016-11-18
SKU-00020,Resep 00020,apotek_resep,91960,10.7,Combiphar,1,2011-09-24
SKU-00021,Resep 00021,apotek_resep,95664,8.4,Mustika Ratu,1,2011-06-20
SKU-00022,Resep 00022,apotek_resep,207000,12.3,Unilever Wellness,1,2015-01-21
SKU-00023,Resep 00023,apotek_resep,76651,13.5,L'Oreal Indonesia,1,2015-09-13
SKU-00024,Resep 00024,apotek_resep,118000,9.3,Abbott Nutrition,1,2011-10-10
SKU-00025,Resep 00025,apotek_resep,214000,9.7,Pharos Indonesia,1,2012-07-23
SKU-00026,Resep 00026,apotek_resep,210000,12.4,Unilever Wellness,1,2011-02-01
SKU-00027,Resep 00027,apotek_resep,85810,11.1,PIM Pharma,1,2011-03-14
SKU-00028,Resep 00028,apotek_resep,123000,11.9,OmronID,1,2010-02-12
SKU-00029,Resep 00029,apotek_resep,150000,8.7,Bristol-Myers ID,1,2010-05-14
SKU-00030,Resep 00030,apotek_resep,107000,13.5,Beurer ID,1,2013-10-17
SKU-00031,Resep 00031,apotek_resep,49455,12.8,Tempo Scan,1,2014-05-16
SKU-00032,Resep 00032,apotek_resep,43255,8.4,Mustika Ratu,1,2014-08-26
SKU-00033,Resep 00033,apotek_resep,25164,10.5,Pyridam Farma,1,2017-10-20
SKU-00034,Resep 00034,apotek_resep,56261,11.2,Combiphar,1,2016-06-27
SKU-00035,Resep 00035,apotek_resep,168000,10.7,Bristol-Myers ID,1,2016-11-20
SKU-00036,Resep 00036,apotek_resep,40684,10.1,Soho Global,1,2012-07-11
SKU-00037,Resep 00037,apotek_resep,81401,13.1,Wardah,1,2013-06-13
SKU-00038,Resep 00038,apotek_resep,78479,13.7,Unilever Wellness,1,2019-04-19
SKU-00039,Resep 00039,apotek_resep,148000,9.3,Beurer ID,0,2017-12-07
SKU-00040,Resep 00040,apotek_resep,120000,13.6,Pharos Indonesia,1,2016-11-16
SKU-00041,Resep 00041,apotek_resep,41484,12.4,Pyridam Farma,1,2012-12-14
SKU-00042,Resep 00042,apotek_resep,212000,10.6,L'Oreal Indonesia,1,2017-10-13
SKU-00043,Resep 00043,apotek_resep,145000,11.5,Mustika Ratu,1,2015-12-26
SKU-00044,Resep 00044,apotek_resep,146000,12.2,Pharos Indonesia,1,2013-11-22
SKU-00045,Resep 00045,apotek_resep,98063,9.2,Dexa Medica,1,2016-06-26
SKU-00046,Resep 00046,apotek_resep,118000,8.7,Sanbe,1,2018-12-17
SKU-00047,Resep 00047,apotek_resep,151000,12.1,Abbott Nutrition,1,2015-07-15
SKU-00048,Resep 00048,apotek_resep,207000,12.8,OmronID,1,2010-08-04
SKU-00049,Resep 00049,apotek_resep,82445,10.9,Pharos Indonesia,1,2012-06-10
SKU-00050,Resep 00050,apotek_resep,94932,11.2,Soho Global,1,2015-08-04
SKU-00051,Resep 00051,apotek_resep,120000,13.1,L'Oreal Indonesia,1,2014-01-26
SKU-00052,Resep 00052,apotek_resep,191000,8.8,Bristol-Myers ID,1,2012-12-08
SKU-00053,Resep 00053,apotek_resep,140000,9.2,Tempo Scan,1,2016-08-08
SKU-00054,Resep 00054,apotek_resep,214000,10.8,Tempo Scan,1,2016-07-01
SKU-00055,Resep 00055,apotek_resep,198000,12.3,Soho Global,1,2016-07-01
SKU-00056,Resep 00056,apotek_resep,190000,9.5,PIM Pharma,1,2011-10-04
SKU-00057,Resep 00057,apotek_resep,215000,14.1,Tempo Scan,1,2013-08-04
SKU-00058,Resep 00058,apotek_resep,73774,12.7,Wardah,1,2015-10-13
SKU-00059,Resep 00059,apotek_resep,165000,10.7,Sanbe,1,2017-10-06
SKU-00060,Resep 00060,apotek_resep,218000,12.7,Indofarma,1,2019-02-22
SKU-00061,Resep 00061,apotek_resep,40113,10.2,Pyridam Farma,1,2012-06-23
SKU-00062,Resep 00062,apotek_resep,42056,11.6,Mustika Ratu,1,2019-07-14
SKU-00063,Resep 00063,apotek_resep,53694,11.4,Beurer ID,1,2012-09-06
SKU-00064,Resep 00064,apotek_resep,133000,10.0,Tempo Scan,1,2017-10-02
SKU-00065,Resep 00065,apotek_resep,232000,10.5,Kalbe Farma,1,2013-07-18
SKU-00066,Resep 00066,apotek_resep,137000,12.6,Mustika Ratu,1,2016-12-27
SKU-00067,Resep 00067,apotek_resep,121000,11.4,Pharos Indonesia,1,2013-05-02
SKU-00068,Resep 00068,apotek_resep,77051,9.6,Indofarma,1,2017-10-24
SKU-00069,Resep 00069,apotek_resep,208000,13.4,Beurer ID,1,2019-02-09
SKU-00070,Resep 00070,apotek_resep,208000,11.8,P&G Indonesia,1,2010-12-15
SKU-00071,Resep 00071,apotek_resep,148000,9.5,Mustika Ratu,1,2013-05-28
SKU-00072,Resep 00072,apotek_resep,13449,11.1,P&G Indonesia,1,2011-08-28
