ticket_id,created_at,customer_id,category,description,priority,status,agent_id,response_time_hours,resolved_at,source
TKT-000017,2025-01-01 00:00:00,CUST-226481,error_pembayaran,Sample complaint description 17,high,open,AGT-018,6,,phone
TKT-000077,2025-01-01 00:00:00,CUST-373518,promo_tidak_berlaku,Sample complaint description 77,high,closed,AGT-006,20,2025-01-01 20:00:00,apps
TKT-000832,2025-01-01 00:00:00,CUST-264821,STOCK_INACCURATE,Sample complaint description 832,medium,closed,AGT-032,22,2025-01-01 22:00:00,phone
TKT-001773,2025-01-01 00:00:00,CUST-483254,error_pembayaran,Sample complaint description 1773,medium,escalated,AGT-036,2,,phone
TKT-002275,2025-01-01 00:00:00,CUST-687810,error_pembayaran,Sample complaint description 2275,high,closed,AGT-043,6,2025-01-01 06:00:00,apps
TKT-002916,2025-01-01 00:00:00,CUST-212901,response_slow,Sample complaint description 2916,low,escalated,AGT-019,16,,website
TKT-003301,2025-01-01 00:00:00,CUST-748945,stock_issue,Sample complaint description 3301,low,open,AGT-038,2,,website
TKT-003325,2025-01-01 00:00:00,CUST-740475,obat_salah,Sample complaint description 3325,high,closed,AGT-018,12,2025-01-01 12:00:00,website
TKT-003880,2025-01-01 00:00:00,CUST-262882,STOCK_INACCURATE,Sample complaint description 3880,high,closed,AGT-042,5,2025-01-01 05:00:00,website
TKT-003889,2025-01-01 00:00:00,CUST-292849,stok_kosong_apps,Sample complaint description 3889,medium,closed,AGT-005,15,2025-01-01 15:00:00,whatsapp
TKT-004638,2025-01-01 00:00:00,CUST-484478,stock_issue,Sample complaint description 4638,low,closed,AGT-011,16,2025-01-01 16:00:00,whatsapp
TKT-004870,2025-01-01 00:00:00,CUST-346275,stok_tidak_akurat_apps,Sample complaint description 4870,high,closed,AGT-001,23,2025-01-01 23:00:00,apps
TKT-004927,2025-01-01 00:00:00,CUST-224628,STOCK_INACCURATE,Sample complaint description 4927,medium,escalated,AGT-030,23,,whatsapp
TKT-001360,2025-01-02 00:00:00,CUST-464130,cs_lambat,Sample complaint description 1360,high,closed,AGT-045,15,2025-01-02 15:00:00,apps
TKT-002589,2025-01-02 00:00:00,CUST-313329,stock_issue,Sample complaint description 2589,medium,closed,AGT-036,2,2025-01-02 02:00:00,apps
TKT-002602,2025-01-02 00:00:00,CUST-747989,response_slow,Sample complaint description 2602,low,closed,AGT-022,16,2025-01-02 16:00:00,phone
TKT-003365,2025-01-02 00:00:00,CUST-218559,slow_response,Sample complaint description 3365,high,closed,AGT-008,22,2025-01-02 22:00:00,whatsapp
TKT-003372,2025-01-02 00:00:00,CUST-212232,obat_salah,Sample complaint description 3372,low,closed,AGT-017,2,2025-01-02 02:00:00,apps
TKT-003451,2025-01-02 00:00:00,CUST-262729,stock_issue,Sample complaint description 3451,high,closed,AGT-010,9,2025-01-02 09:00:00,phone
TKT-004306,2025-01-02 00:00:00,CUST-440590,pengiriman_lambat,Sample complaint description 4306,low,pending,AGT-005,4,,website
TKT-002788,2025-01-03 00:00:00,CUST-679797,promo_tidak_berlaku,Sample complaint description 2788,low,closed,AGT-044,12,2025-01-03 12:00:00,apps
TKT-003886,2025-01-03 00:00:00,CUST-266765,stok_kosong_apps,Sample complaint description 3886,high,closed,AGT-017,9,2025-01-03 09:00:00,phone
TKT-000892,2025-01-04 00:00:00,CUST-850511,pengiriman_lambat,Sample complaint description 892,medium,closed,AGT-025,7,2025-01-04 07:00:00,website
TKT-001198,2025-01-04 00:00:00,CUST-553234,pengiriman_lambat,Sample complaint description 1198,low,closed,AGT-015,3,2025-01-04 03:00:00,whatsapp
TKT-001246,2025-01-04 00:00:00,CUST-558733,CS_LAMBAT,Sample complaint description 1246,medium,closed,AGT-011,12,2025-01-04 12:00:00,whatsapp
TKT-001251,2025-01-04 00:00:00,CUST-813586,slow_response,Sample complaint description 1251,medium,closed,AGT-042,3,2025-01-04 03:00:00,apps
TKT-001432,2025-01-04 00:00:00,CUST-984921,STOCK_INACCURATE,Sample complaint description 1432,medium,open,AGT-028,14,,whatsapp
TKT-002673,2025-01-04 00:00:00,CUST-106125,STOCK_INACCURATE,Sample complaint description 2673,high,closed,AGT-013,9,2025-01-04 09:00:00,whatsapp
TKT-002803,2025-01-04 00:00:00,CUST-186718,promo_tidak_berlaku,Sample complaint description 2803,low,closed,AGT-022,15,2025-01-04 15:00:00,phone
TKT-003344,2025-01-04 00:00:00,CUST-316209,stock_issue,Sample complaint description 3344,low,closed,AGT-044,20,2025-01-04 20:00:00,website
TKT-003350,2025-01-04 00:00:00,CUST-277119,CS_LAMBAT,Sample complaint description 3350,low,closed,AGT-013,21,2025-01-04 21:00:00,phone
TKT-003788,2025-01-04 00:00:00,CUST-560039,error_pembayaran,Sample complaint description 3788,medium,closed,AGT-044,4,2025-01-04 04:00:00,website
TKT-004157,2025-01-04 00:00:00,CUST-872967,stock_issue,Sample complaint description 4157,high,escalated,AGT-001,24,,whatsapp
TKT-000383,2025-01-05 00:00:00,CUST-949241,pengiriman_lambat,Sample complaint description 383,low,closed,AGT-009,13,2025-01-05 13:00:00,whatsapp
TKT-000673,2025-01-05 00:00:00,CUST-440301,response_slow,Sample complaint description 673,medium,closed,AGT-031,22,2025-01-05 22:00:00,whatsapp
TKT-000706,2025-01-05 00:00:00,CUST-280281,STOCK_INACCURATE,Sample complaint description 706,low,closed,AGT-013,9,2025-01-05 09:00:00,phone
TKT-001309,2025-01-05 00:00:00,CUST-222335,pengiriman_lambat,Sample complaint description 1309,low,closed,AGT-025,22,2025-01-05 22:00:00,apps
TKT-001507,2025-01-05 00:00:00,CUST-909474,promo_tidak_berlaku,Sample complaint description 1507,low,closed,AGT-034,3,2025-01-05 03:00:00,whatsapp
