response_id,response_date,customer_id,channel_source,nps_score,category,top_complaint,would_recommend,comment_id
NPS-000006,2025-01-01,CUST-372495,apps,8,Passive,cs_lambat,yes,
NPS-000154,2025-01-01,CUST-898969,in_store,9,Promoter,tidak_ada_komplain,yes,
NPS-000734,2025-01-01,CUST-217504,apps,8,Passive,tidak_ada_komplain,yes,CMT-000734
NPS-001475,2025-01-01,CUST-319047,apps,3,Detractor,cs_lambat,definitely_no,CMT-001475
NPS-001943,2025-01-01,CUST-431495,apps,5,Detractor,stok_tidak_akurat,no,
NPS-001974,2025-01-01,CUST-129831,in_store,1,Detractor,harga_mahal,definitely_no,
NPS-002115,2025-01-01,CUST-354195,in_store,10,Promoter,obat_tidak_lengkap,yes,CMT-002115
NPS-002560,2025-01-01,CUST-415097,in_store,3,Detractor,kasir_lama,definitely_no,
NPS-002830,2025-01-01,CUST-623378,in_store,7,Passive,cs_lambat,yes,
NPS-003921,2025-01-01,CUST-927280,b2b,3,Detractor,obat_tidak_lengkap,definitely_no,
NPS-004225,2025-01-01,CUST-190783,apps,9,Promoter,tidak_ada_komplain,yes,CMT-004225
NPS-004270,2025-01-01,CUST-943810,in_store,9,Promoter,tidak_ada_komplain,yes,
NPS-004684,2025-01-01,CUST-771839,apps,9,Promoter,tidak_ada_komplain,yes,
NPS-004734,2025-01-01,CUST-937339,in_store,10,Promoter,tidak_ada_komplain,yes,CMT-004734
NPS-004998,2025-01-01,CUST-103716,apps,10,Promoter,tidak_ada_komplain,yes,
NPS-005273,2025-01-01,CUST-967069,apps,4,Detractor,harga_mahal,definitely_no,
NPS-006089,2025-01-01,CUST-648609,in_store,5,Detractor,obat_tidak_lengkap,no,
NPS-006296,2025-01-01,CUST-544053,in_store,8,Passive,tidak_ada_komplain,yes,
NPS-006419,2025-01-01,CUST-416636,apps,6,Detractor,cs_lambat,no,CMT-006419
NPS-007029,2025-01-01,CUST-895028,apps,8,Passive,tidak_ada_komplain,yes,
NPS-007065,2025-01-01,CUST-632596,in_store,9,Promoter,tidak_ada_komplain,yes,
NPS-007435,2025-01-01,CUST-143625,in_store,7,Passive,aplikasi_lambat,yes,
NPS-008789,2025-01-01,CUST-146530,in_store,3,Detractor,obat_tidak_lengkap,definitely_no,
NPS-009245,2025-01-01,CUST-103072,in_store,7,Passive,kasir_lama,yes,CMT-009245
NPS-009423,2025-01-01,CUST-381837,apps,8,Passive,tidak_ada_komplain,yes,
NPS-010000,2025-01-01,CUST-947541,in_store,9,Promoter,tidak_ada_komplain,yes,CMT-010000
NPS-010231,2025-01-01,CUST-265508,b2b,10,Promoter,aplikasi_lambat,yes,CMT-010231
NPS-010414,2025-01-01,CUST-257712,apps,9,Promoter,kasir_lama,yes,
NPS-010419,2025-01-01,CUST-320273,apps,10,Promoter,tidak_ada_komplain,yes,
NPS-010930,2025-01-01,CUST-381734,in_store,10,Promoter,tidak_ada_komplain,yes,
NPS-011242,2025-01-01,CUST-497206,in_store,8,Passive,tidak_ada_komplain,yes,CMT-011242
NPS-011667,2025-01-01,CUST-575899,b2b,7,Passive,tidak_ada_komplain,yes,
NPS-000603,2025-01-02,CUST-983319,apps,9,Promoter,harga_mahal,yes,
NPS-001236,2025-01-02,CUST-992789,in_store,8,Passive,tidak_ada_komplain,yes,
NPS-001443,2025-01-02,CUST-795582,apps,6,Detractor,cs_lambat,no,
NPS-001613,2025-01-02,CUST-208594,in_store,6,Detractor,kasir_lama,no,
NPS-001926,2025-01-02,CUST-297861,in_store,3,Detractor,harga_mahal,definitely_no,
NPS-002494,2025-01-02,CUST-227816,in_store,10,Promoter,tidak_ada_komplain,yes,CMT-002494
NPS-002836,2025-01-02,CUST-207457,in_store,7,Passive,tidak_ada_komplain,yes,CMT-002836
NPS-002962,2025-01-02,CUST-184493,in_store,9,Promoter,tidak_ada_komplain,yes,CMT-002962
NPS-003511,2025-01-02,CUST-317267,in_store,9,Promoter,tidak_ada_komplain,yes,CMT-003511
NPS-003634,2025-01-02,CUST-774028,b2b,6,Detractor,harga_mahal,no,CMT-003634
NPS-003766,2025-01-02,CUST-511064,b2b,8,Passive,cs_lambat,yes,
NPS-003954,2025-01-02,CUST-713222,apps,10,Promoter,cs_lambat,yes,CMT-003954
NPS-004162,2025-01-02,CUST-912487,in_store,1,Detractor,cs_lambat,definitely_no,
NPS-004230,2025-01-02,CUST-662230,b2b,8,Passive,aplikasi_lambat,yes,CMT-004230
NPS-004654,2025-01-02,CUST-772985,in_store,3,Detractor,cs_lambat,definitely_no,
NPS-004726,2025-01-02,CUST-750024,b2b,9,Promoter,obat_tidak_lengkap,yes,
NPS-005134,2025-01-02,CUST-859394,b2b,8,Passive,aplikasi_lambat,yes,
NPS-006952,2025-01-02,CUST-667081,in_store,7,Passive,tidak_ada_komplain,yes,
NPS-006970,2025-01-02,CUST-316929,apps,8,Passive,tidak_ada_komplain,yes,CMT-006970
NPS-007160,2025-01-02,CUST-353921,apps,7,Passive,tidak_ada_komplain,yes,
NPS-007165,2025-01-02,CUST-143919,apps,5,Detractor,aplikasi_lambat,no,CMT-007165
NPS-007374,2025-01-02,CUST-414201,apps,4,Detractor,stok_tidak_akurat,definitely_no,
NPS-007562,2025-01-02,CUST-862971,in_store,7,Passive,tidak_ada_komplain,yes,
NPS-007820,2025-01-02,CUST-670556,apps,7,Passive,tidak_ada_komplain,yes,
NPS-007980,2025-01-02,CUST-193532,apps,6,Detractor,aplikasi_lambat,no,CMT-007980
NPS-008025,2025-01-02,CUST-808156,b2b,10,Promoter,tidak_ada_komplain,yes,
NPS-008498,2025-01-02,CUST-528972,in_store,9,Promoter,tidak_ada_komplain,yes,
NPS-008798,2025-01-02,CUST-505051,apps,5,Detractor,harga_mahal,no,CMT-008798
NPS-009078,2025-01-02,CUST-544950,in_store,7,Passive,tidak_ada_komplain,yes,CMT-009078
NPS-009109,2025-01-02,CUST-942652,in_store,9,Promoter,tidak_ada_komplain,yes,
NPS-009929,2025-01-02,CUST-478951,in_store,9,Promoter,harga_mahal,yes,
NPS-010577,2025-01-02,CUST-600306,apps,0,Detractor,aplikasi_lambat,definitely_no,
NPS-011086,2025-01-02,CUST-326030,in_store,4,Detractor,obat_tidak_lengkap,definitely_no,
NPS-011117,2025-01-02,CUST-160338,in_store,6,Detractor,kasir_lama,no,
NPS-011468,2025-01-02,CUST-999878,apps,4,Detractor,aplikasi_lambat,definitely_no,CMT-011468
NPS-000435,2025-01-03,CUST-678818,in_store,9,Promoter,tidak_ada_komplain,yes,
NPS-000776,2025-01-03,CUST-607247,apps,8,Passive,stok_tidak_akurat,yes,
NPS-000832,2025-01-03,CUST-703293,apps,7,Passive,tidak_ada_komplain,yes,
NPS-000974,2025-01-03,CUST-504977,apps,5,Detractor,stok_tidak_akurat,no,
NPS-001021,2025-01-03,CUST-949305,apps,9,Promoter,tidak_ada_komplain,yes,CMT-001021
NPS-001168,2025-01-03,CUST-836806,apps,7,Passive,tidak_ada_komplain,yes,CMT-001168
NPS-001175,2025-01-03,CUST-396536,in_store,9,Promoter,stok_tidak_akurat,yes,
NPS-002046,2025-01-03,CUST-865434,in_store,7,Passive,tidak_ada_komplain,yes,CMT-002046
NPS-002051,2025-01-03,CUST-818980,apps,8,Passive,tidak_ada_komplain,yes,
NPS-002158,2025-01-03,CUST-377673,b2b,0,Detractor,kasir_lama,definitely_no,CMT-002158
NPS-002263,2025-01-03,CUST-829147,apps,6,Detractor,stok_tidak_akurat,no,CMT-002263
NPS-002998,2025-01-03,CUST-218661,apps,8,Passive,tidak_ada_komplain,yes,
NPS-003012,2025-01-03,CUST-800300,in_store,8,Passive,harga_mahal,yes,
NPS-003269,2025-01-03,CUST-122825,apps,8,Passive,pengiriman_lambat,yes,CMT-003269
NPS-003329,2025-01-03,CUST-911129,in_store,5,Detractor,obat_tidak_lengkap,no,CMT-003329
NPS-003382,2025-01-03,CUST-692049,in_store,7,Passive,tidak_ada_komplain,yes,
NPS-003466,2025-01-03,CUST-162642,apps,10,Promoter,aplikasi_lambat,yes,
NPS-004506,2025-01-03,CUST-711728,apps,9,Promoter,tidak_ada_komplain,yes,
NPS-005879,2025-01-03,CUST-546940,in_store,0,Detractor,harga_mahal,definitely_no,
NPS-006224,2025-01-03,CUST-365192,in_store,6,Detractor,kasir_lama,no,CMT-006224
NPS-006254,2025-01-03,CUST-113444,in_store,10,Promoter,kasir_lama,yes,
NPS-006405,2025-01-03,CUST-934473,in_store,9,Promoter,tidak_ada_komplain,yes,CMT-006405
NPS-007257,2025-01-03,CUST-432365,apps,9,Promoter,tidak_ada_komplain,yes,
NPS-007278,2025-01-03,CUST-692205,apps,9,Promoter,kasir_lama,yes,
NPS-007462,2025-01-03,CUST-348621,in_store,6,Detractor,obat_tidak_lengkap,no,CMT-007462
NPS-007684,2025-01-03,CUST-899703,b2b,8,Passive,tidak_ada_komplain,yes,
NPS-007943,2025-01-03,CUST-661026,apps,4,Detractor,aplikasi_lambat,definitely_no,CMT-007943
NPS-007948,2025-01-03,CUST-865569,in_store,8,Passive,aplikasi_lambat,yes,
NPS-008062,2025-01-03,CUST-506690,apps,8,Passive,tidak_ada_komplain,yes,
NPS-008194,2025-01-03,CUST-272584,in_store,6,Detractor,obat_tidak_lengkap,no,CMT-008194
