transaction_id,date,customer_id,product_id,qty,unit_price_idr,revenue_idr,channel
T00001,2024-01-01,,P17,2,12000,24000,GoFood
T00002,2024-01-01,,P14,1,18000,18000,GoFood
T00003,2024-01-01,C008,P16,4,9000,36000,ShopeeFood
T00004,2024-01-01,C002,P12,2,45000,90000,GrabFood
T00005,2024-01-01,,P12,2,45000,90000,Takeaway
T00006,2024-01-01,C015,P11,2,12000,24000,GoFood
T00007,2024-01-01,C018,P10,3,15000,45000,GrabFood
T00008,2024-01-01,C015,P15,1,8000,8000,Dine-In
T00009,2024-01-01,,P14,6,18000,108000,GoFood
T00010,2024-01-01,C017,P11,4,12000,48000,GoFood
T00011,2024-01-01,C017,P12,2,45000,90000,ShopeeFood
T00012,2024-01-01,C012,P15,2,8000,16000,GrabFood
T00013,2024-01-01,C019,P14,1,18000,18000,ShopeeFood
T00014,2024-01-01,,P11,3,12000,36000,ShopeeFood
T00015,2024-01-01,C018,P12,1,45000,45000,Dine-In
T00016,2024-01-01,,P16,6,9000,54000,GrabFood
T00017,2024-01-01,C012,P13,3,50000,150000,Takeaway
T00018,2024-01-01,C011,P17,3,12000,36000,GoFood
T00019,2024-01-01,,P13,1,50000,50000,Dine-In
T00020,2024-01-01,,P11,5,12000,60000,Dine-In
T00021,2024-01-01,C018,P13,1,50000,50000,Dine-In
T00022,2024-01-01,C014,P17,1,12000,12000,Dine-In
T00023,2024-01-01,C014,P11,3,12000,36000,GoFood
T00024,2024-01-01,,P10,3,15000,45000,Dine-In
T00025,2024-01-01,,P16,3,9000,27000,Dine-In
T00026,2024-01-01,C014,P13,1,50000,50000,Dine-In
T00027,2024-01-01,,P17,1,12000,12000,Takeaway
T00028,2024-01-01,,P11,1,12000,12000,GrabFood
T00029,2024-01-01,,P11,5,12000,60000,Dine-In
T00030,2024-01-01,,P17,2,12000,24000,ShopeeFood
T00031,2024-01-01,,P12,2,45000,90000,Takeaway
T00032,2024-01-01,C018,P17,1,12000,12000,GoFood
T00033,2024-01-01,C002,P17,1,12000,12000,GoFood
T00034,2024-01-01,C019,P10,3,15000,45000,GoFood
T00035,2024-01-01,C006,P12,1,45000,45000,Dine-In
T00036,2024-01-01,C004,P11,3,12000,36000,ShopeeFood
T00037,2024-01-01,C003,P13,2,50000,100000,Takeaway
T00038,2024-01-01,C011,P15,4,8000,32000,Takeaway
T00039,2024-01-01,,P14,2,18000,36000,ShopeeFood
T00040,2024-01-01,,P10,2,15000,30000,ShopeeFood
T00041,2024-01-01,C005,P11,2,12000,24000,ShopeeFood
T00042,2024-01-01,C006,P11,4,12000,48000,Takeaway
T00043,2024-01-02,,P14,2,18000,36000,GoFood
T00044,2024-01-02,C004,P10,3,15000,45000,ShopeeFood
T00045,2024-01-02,,P12,1,45000,45000,GrabFood
T00046,2024-01-02,C011,P12,4,45000,180000,GoFood
T00047,2024-01-02,C002,P14,2,18000,36000,Dine-In
T00048,2024-01-02,C011,P16,7,9000,63000,GoFood
T00049,2024-01-02,C014,P14,1,18000,18000,GoFood
T00050,2024-01-02,,P11,1,12000,12000,ShopeeFood
T00051,2024-01-02,C005,P10,4,15000,60000,Takeaway
T00052,2024-01-02,,P10,1,15000,15000,GrabFood
