transaction_id,date,customer_id,product_id,qty,unit_price,revenue,channel
T22743,08-Mar-2025,C020,P13,1,50000,50000,dine-in
T05956,04-05-2024,C014,P12,4,45000,180000,GRABFOOD
T31713,14/08/2025,C020,P13,3,50000,150000,Takeaway
T21002,01/02/2025,C010,P11,1,12000,12000,GoFood
T36608,2025-11-18,N/A,P17,1,12000,12000,Take Away
T15314,19-Oct-2024,C014,P12,5,45000,225000,Go-Food
T00674,2024-01-17,C006,P10,2,15000,30000,GoFood
T22244,27-Feb-2025,C020,P10,5,15000,75000,TAKEAWAY
T25017,2025-04-21,C007,P15,2,8000,,Takeaway
T19971,08/01/2025,,P12,1 pcs,45000,45000,ShopeeFood
T26738,2025-05-24,,P14,4,18000,72000,dine-in
T17454,30-Nov-2024,C020,P15,1,8000,8000,takeaway 
T00453,12-01-2024,,P10,1,Rp 15.000,15000,dine-in
T03665,20/03/2024,N/A,P13,1,50000,50000,dine-in
T12051,2024-08-15,C002,P11,1,12000,12000,DINE IN
T25671,04-05-2025,C009,P16,5 pcs,9000,45000,Takeaway
T25982,10-05-2025,C006,P17,3,12000,36000,GrabFood
T23901,2025-03-31,C019,P16,3,9000,27000,Grab Food
T19688,31/12/2024,-,P17,2,12000,24000,Dine In 
T38566,20-12-2025,C003,P10,1,Rp 15.000,15000,gofood
T00551,14-01-2024,,P15,1,8000,8000,Go-Food
T24232,06-04-2025,C018,P17,5,12000,60000,GOFOOD
T38822,23-12-2025,-,P14,6,18000,108000,Dine-In
T29046,01-07-2025,C006,P12,2,45000,,gofood
T06980,24-May-2024,C012,P13,1,50000,50000,gofood
T35056,19-Oct-2025,C019,P12,1,45000,45000,GoFood
T22044,22-02-2025,C004,P16,3,9000,27000,GrabFood
T10949,26-07-2024,,P16,4,9000,36000,Grab Food
T12910,2024-09-01,N/A,P13,1,50000,50000,Take Away
T24766,2025-04-17,N/A,P17,4,12000,48000,takeaway 
T03498,16-03-2024,,P12,5,Rp 45.000,225000,Dine In 
T23364,21/03/2025,C020,P11,4,12000,,Dine In 
T08726,22/06/2024,C002,P17,3,12000,36000,DINE IN
T20179,2025-01-12,-,P15,2,8000,16000,GrabFood
T20446,2025-01-19,-,P11,5,12000,60000,GRABFOOD
T23826,30-03-2025,C004,P15,6,8000,48000,GoFood
T26582,22-05-2025,C003,P14,2,18000,36000,DINE IN
T00216,2024-01-06,,P16,1,9000,9000,Grab Food
T37283,02/12/2025,C017,P10,2,15000,30000,Grab Food
T36536,2025-11-17,C008,P16,1,9000,9000,DINE IN
T23189,17/03/2025,,P16,2,9000,18000,TAKEAWAY
T39348,29-Dec-2025,N/A,P12,1,45000,45000,gofood
T11412,02-Aug-2024,C006,P17,3,12000,36000,Dine-In
T33286,14-09-2025,C012,P14,1,18000,18000,ShopeeFood
T07165,2024-05-27,,P13,2,50000,100000,TAKEAWAY
T01871,12-02-2024,C016,P17,4,12000,48000,DINE IN
T38311,16/12/2025,C010,P13,3,50000,150000,Go-Food
T02343,23-Feb-2024,,P12,1,45000,45000,Takeaway
T25298,27/04/2025,C004,P16,4,Rp 9.000,36000,gofood
T00415,10-Jan-2024,N/A,P14,1,18000,18000,GOFOOD
T07216,28/05/2024,N/A,P12,1,Rp 45.000,45000,takeaway 
T06447,12-May-2024,C010,P15,1,8000,8000,Go-Food
T00792,20-01-2024,C004,P16,1,9000,9000,Go-Food
T10208,14-07-2024,C014,P12,1,45000,45000,Go-Food
T34096,30-09-2025,C008,P13,4,50000,200000,GoFood
T06180,08-May-2024,,P12,3,45000,135000,dine-in
T33337,14/09/2025,C009,P10,3,15000,45000,gofood
T22493,03-Mar-2025,C011,P14,6,18000,108000,takeaway 
T29720,12/07/2025,C005,P11,2,Rp 12.000,24000,Dine-In
T22529,04-03-2025,,P10,1,15000,,GOFOOD
T32261,24-08-2025,C002,P13,3,50000,150000,GoFood
T11240,2024-07-29,C003,P16,2,9000,18000,Takeaway
T29838,13-07-2025,C002,P10,6,Rp 15.000,90000,SHOPEEFOOD
T05966,2024-05-04,C015,P11,1,12000,12000,ShopeeFood
T17621,02-Dec-2024,C018,P11,3,12000,36000,Go-Food
T31521,10-08-2025,C018,P14,6,18000,108000,takeaway 
T21066,02-Feb-2025,,P14,4,18000,72000,Dine In 
T10556,20/07/2024,C018,P17,2,12000,24000,GoFood
T10098,13-07-2024,c003,P10,2,15000,,Dine In 
T08347,15-06-2024,C003,P10,2,15000,30000,DINE IN
T18841,2024-12-20,C019,P13,1,50000,50000,dine-in
T31864,17/08/2025,,P13,5,Rp 50.000,250000,GOFOOD
T38473,19/12/2025,-,P14,1,18000,18000,Go-Food
T11106,2024-07-28,C008,P13,2,50000,100000,SHOPEEFOOD
T12879,31-08-2024,C001,P11,2,12000,24000,Grab Food
T38189,14-12-2025,C003,P15,6,8000,48000,DINE IN
T01418,2024-02-03,C013,P16,1,9000,9000,dine-in
T16146,2024-11-04,C013,P12,2,45000,90000,Shopee Food
T06934,23-05-2024,C012,P11,1,12000,12000,Takeaway
T02900,03/03/2024,C020,P10,1,Rp 15.000,,GRABFOOD
T11854,10-Aug-2024,C011,P13,5,50000,250000,Grab Food
T33402,16/09/2025,,P12,3,45000,135000,dine-in
T19551,29/12/2024,C019,P17,6,12000,72000,Dine-In
T04220,30-03-2024,C007,P10,1 pcs,15000,15000,Dine-In
T23895,31-03-2025,C014,P16,4,9000,36000,GoFood
T17626,02-12-2024,-,P11,1,12000,12000,takeaway 
T21844,17-02-2025,-,P12,1,45000,45000,GOFOOD
T24064,2025-04-04,C016,P12,6,45000,270000,GOFOOD
T11459,03-08-2024,C012,P11,1,12000,12000,Takeaway
T06445,2024-05-12,N/A,P16,1,9000,9000,Go-Food
T14758,07-Oct-2024,C004,P17,2,12000,24000,Grab Food
T15351,2024-10-19,C014,P12,2,45000,90000,GOFOOD
T35218,23/10/2025,-,P10,2,15000,30000,DINE IN
T12718,28/08/2024,C017,P11,2,12000,,gofood
T06625,17-May-2024,-,P13,1,50000,50000,Dine-In
T31637,12-Aug-2025,C015,P13,1,50000,50000,gofood
T09069,27-06-2024,C014,P15,3,8000,24000,GrabFood
T20342,17/01/2025,,P17,2,12000,24000,gofood
T23264,2025-03-19,N/A,P15,1,8000,8000,GOFOOD
T25204,26/04/2025,C016,P14,1,Rp 18.000,18000,GoFood
T16292,08/11/2024,,P15,2,8000,16000,GRABFOOD
T24510,12-04-2025,C006,P17,3,12000,36000,TAKEAWAY
T11976,13/08/2024,C006,P15,1,8000,8000,takeaway 
T29997,16-07-2025,C014,P16,3,Rp 9.000,27000,GRABFOOD
T24420,2025-04-10,C005,P11,3,12000,36000,DINE IN
T12886,31/08/2024,C011,P14,3,18000,,dine-in
T34448,06-10-2025,,P15,3,8000,24000,DINE IN
T04940,14/04/2024,C012,P16,1,9000,9000,GoFood
T11293,30/07/2024,,P11,1,12000,12000,GOFOOD
T11910,11/08/2024,C019,P10,6,15000,90000,GOFOOD
T18628,16-Dec-2024,,P13,3,50000,150000,Grab Food
T06581,16-05-2024,C013,P17,1,12000,12000,Grab Food
T32779,2025-09-04,-,P10,2,15000,30000,Go-Food
T02587,2024-02-27,C019,P12,4,45000,180000,GrabFood
T34023,28-09-2025,-,P12,1,45000,,takeaway 
T03801,23-Mar-2024,C007,P11,1,12000,12000,GOFOOD
T13231,07-Sep-2024,-,P15,2,8000,16000,Takeaway
T34486,07-Oct-2025,C013,P11,4,12000,48000,ShopeeFood
T08496,2024-06-17,C019,P10,1,15000,15000,gofood
T31235,04-08-2025,C020,P13,4,50000,200000,Take Away
T37625,06-Dec-2025,N/A,P10,4,15000,60000,TAKEAWAY
T15224,17-10-2024,C009,P17,1,12000,12000,GRABFOOD
T11625,05-Aug-2024,C017,P17,1,12000,12000,TAKEAWAY
T23404,22-Mar-2025,,P17,4,12000,48000,Go-Food
T22572,05-03-2025,,P11,1,12000,12000,DINE IN
T20536,21/01/2025,C012,P16,2,Rp 9.000,18000,Shopee Food
T22793,2025-03-09,C016,P13,2,50000,,GOFOOD
T32121,22/08/2025,-,P11,4,12000,48000,Take Away
T08731,2024-06-22,C003,P16,3,9000,27000,GrabFood
T20680,25-Jan-2025,C008,P15,2,8000,16000,GRABFOOD
T38793,22-Dec-2025,C017,P16,4,9000,36000,Grab Food
T35772,02/11/2025,C013,P17,2,12000,24000,ShopeeFood
T18624,16-Dec-2024,C004,P12,1,45000,45000,SHOPEEFOOD
T28971,2025-06-29,,P10,8,15000,120000,Dine In 
T25634,04-May-2025,-,P10,1,15000,15000,TAKEAWAY
T30455,23-Jul-2025,C020,P13,1,50000,50000,Grab Food
T14650,06-Oct-2024,-,P14,2,18000,36000,GrabFood
T28471,22/06/2025,,P11,1,12000,12000,dine-in
T32543,2025-08-30,C015,P14,1,18000,18000,Go-Food
T18578,16-Dec-2024,C018,P12,3,45000,135000,Go-Food
T07984,09/06/2024,C018,P14,1,18000,18000,Go-Food
T14120,2024-09-26,C013,P10,3,15000,45000,Shopee Food
T00999,25/01/2024,C004,P14,1 pcs,18000,,takeaway 
T27566,08/06/2025,C004,P17,5,12000,60000,Takeaway
T23945,01-04-2025,C015,P10,1,Rp 15.000,15000,ShopeeFood
T19062,2024-12-23,C011,P13,3,50000,150000,Grab Food
T17749,05-12-2024,c013,P11,2,12000,24000,Shopee Food
T31498,09/08/2025,,P13,3,50000,150000,Dine In 
T02210,19/02/2024,C009,P15,1,8000,8000,gofood
T19290,27-Dec-2024,-,P11,1,12000,12000,GOFOOD
T17987,08-Dec-2024,C007,P12,2,45000,90000,Dine In 
T18717,2024-12-18,C011,P12,4,Rp 45.000,180000,Takeaway
